100000,123.30167777777685
200000,185.6276111111092
300000,178.9824666666652
400000,183.3425555555542
500000,165.33384444444326
600000,195.8953222222202
700000,186.34195555555397
800000,197.1928555555536
900000,173.5751444444432
1000000,180.9393777777768
1100000,176.25674444444317
1200000,162.15849999999898
1300000,149.63076666666566
1400000,167.23209999999878
1500000,144.86483333333217
1600000,148.48913333333232
1700000,149.62835555555432
1800000,161.89868888888753
1900000,162.97781111110965
2000000,161.88912222222044
